DHC_SIGMA,DHC_MINPTS,DHC_THRESHOLD,fitness
10.333334,20,43.333332,99.91717931
10.333334,20,43.333332,99.91717931
10.333334,20,43.333332,99.91717931
10.333334,20,43.333332,99.91717931
10.333334,20,48.888885,99.90539204
10.333334,20,48.888885,99.90539204
10.333334,20,48.888885,99.90539204
10.333334,20,48.888885,99.90539204
10.333334,20,48.888885,99.90539204
10.333334,20,48.888885,99.90539204
10.333334,20,54.444443,99.90539204
10.333334,20,54.444443,99.90539204
10.333334,20,54.444443,99.90539204
10.333334,20,54.444443,99.90539204
10.333334,20,54.444443,99.90539204
10.333334,20,54.444443,99.90539204
10.333334,20,60,99.90539204
10.333334,20,60,99.90539204
10.333334,20,60,99.90539204
10.333334,20,60,99.90539204
10.333334,20,60,99.90539204
10.333334,20,60,99.90539204
10.333334,20,60,99.90539204
10.333334,20,60,99.90539204
10.333334,20,60,99.90539204
10.333334,20,60,99.90539204
10.333334,20,60,99.90539204
10.333334,6.6666665,15.555555,93.66673384
10.333334,6.6666665,15.555555,93.66673384
10.333334,6.6666665,15.555555,93.66673384
10.333334,6.6666665,21.11111,97.66711751
10.333334,6.6666665,26.666666,98.12677082
10.333334,6.6666665,26.666666,98.12677082
10.333334,6.6666665,26.666666,98.12677082
10.333334,6.6666665,26.666666,98.12677082
10.333334,6.6666665,26.666666,98.12677082
10.333334,6.6666665,26.666666,98.12677082
10.333334,6.6666665,32.22222,99.15779753
10.333334,6.6666665,32.22222,99.15779753
10.333334,6.6666665,37.77778,99.9088001
10.333334,6.6666665,37.77778,99.9088001
10.333334,6.6666665,37.77778,99.9088001
10.333334,6.6666665,37.77778,99.9088001
10.333334,6.6666665,37.77778,99.9088001
10.333334,6.6666665,37.77778,99.9088001
10.333334,6.6666665,43.333332,99.91717931
10.333334,6.6666665,43.333332,99.91717931
10.333334,6.6666665,43.333332,99.91717931
10.333334,6.6666665,43.333332,99.91717931
10.333334,6.6666665,43.333332,99.91717931
10.333334,6.6666665,43.333332,99.91717931
10.333334,6.6666665,48.888885,99.90539204
10.333334,6.6666665,48.888885,99.90539204
10.333334,6.6666665,48.888885,99.90539204
10.333334,6.6666665,48.888885,99.90539204
10.333334,6.6666665,54.444443,99.90539204
10.333334,6.6666665,54.444443,99.90539204
10.333334,6.6666665,60,99.90539204
10.333334,6.6666665,60,99.90539204
10.333334,6.6666665,60,99.90539204
10.333334,6.6666665,60,99.90539204
10.333334,6.6666665,60,99.90539204
10.333334,6.6666665,60,99.90539204
10.333334,8.333333,15.555555,93.66673384
10.333334,8.333333,15.555555,93.66673384
10.333334,8.333333,21.11111,97.66711751
10.333334,8.333333,21.11111,97.66711751
10.333334,8.333333,26.666666,98.12677082
10.333334,8.333333,37.77778,99.9088001
10.333334,8.333333,48.888885,99.90539204
10.333334,8.333333,54.444443,99.90539204
10.333334,8.333333,54.444443,99.90539204
10.333334,8.333333,60,99.90539204
10.333334,8.333333,60,99.90539204
10.333334,8.333333,60,99.90539204
11.888889,10,15.555555,93.71766405
11.888889,10,26.666666,99.12578497
11.888889,10,32.22222,99.10186822
11.888889,10,32.22222,99.10186822
11.888889,10,32.22222,99.10186822
11.888889,10,37.77778,99.81438123
11.888889,10,37.77778,99.81438123
11.888889,10,48.888885,99.81668554
11.888889,10,48.888885,99.81668554
11.888889,10,48.888885,99.81668554
11.888889,10,48.888885,99.81668554
11.888889,10,54.444443,99.81668554
11.888889,10,54.444443,99.81668554
11.888889,10,60,0
11.888889,10,60,0
11.888889,10,60,0
11.888889,10,60,0
11.888889,11.666666,15.555555,93.71766405
11.888889,11.666666,15.555555,93.71766405
11.888889,11.666666,21.11111,96.79344922
11.888889,11.666666,21.11111,96.79344922
11.888889,11.666666,21.11111,96.79344922
11.888889,11.666666,26.666666,99.12578497
11.888889,11.666666,26.666666,99.12578497
11.888889,11.666666,26.666666,99.12578497
11.888889,11.666666,26.666666,99.12578497
11.888889,11.666666,37.77778,99.81438123
11.888889,11.666666,43.333332,99.83689914
11.888889,11.666666,43.333332,99.83689914
11.888889,11.666666,43.333332,99.83689914
11.888889,11.666666,48.888885,99.81668554
11.888889,11.666666,54.444443,99.81668554
11.888889,11.666666,54.444443,99.81668554
11.888889,11.666666,54.444443,99.81668554
11.888889,11.666666,54.444443,99.81668554
11.888889,11.666666,60,0
11.888889,11.666666,60,0
11.888889,11.666666,60,0
11.888889,11.666666,60,0
11.888889,11.666666,60,0
11.888889,11.666666,60,0
11.888889,13.333333,15.555555,93.71766405
11.888889,13.333333,15.555555,93.71766405
11.888889,13.333333,15.555555,93.71766405
11.888889,13.333333,15.555555,93.71766405
11.888889,13.333333,21.11111,96.79344922
11.888889,13.333333,21.11111,96.79344922
11.888889,13.333333,26.666666,99.12578497
11.888889,13.333333,26.666666,99.12578497
11.888889,13.333333,32.22222,99.10186822
11.888889,13.333333,32.22222,99.10186822
11.888889,13.333333,32.22222,99.10186822
11.888889,13.333333,37.77778,99.81438123
11.888889,13.333333,37.77778,99.81438123
11.888889,13.333333,37.77778,99.81438123
11.888889,13.333333,37.77778,99.81438123
11.888889,13.333333,37.77778,99.81438123
11.888889,13.333333,43.333332,99.83689914
11.888889,13.333333,43.333332,99.83689914
11.888889,13.333333,43.333332,99.83689914
11.888889,13.333333,48.888885,99.81668554
11.888889,13.333333,48.888885,99.81668554
11.888889,13.333333,54.444443,99.81668554
11.888889,13.333333,54.444443,99.81668554
11.888889,13.333333,60,0
11.888889,13.333333,60,0
11.888889,13.333333,60,0
11.888889,13.333333,60,0
11.888889,13.333333,60,0
11.888889,13.333333,60,0
11.888889,13.333333,60,0
11.888889,13.333333,60,0
11.888889,15,15.555555,93.71766405
11.888889,15,15.555555,93.71766405
11.888889,15,15.555555,93.71766405
11.888889,15,15.555555,93.71766405
11.888889,15,15.555555,93.71766405
11.888889,15,15.555555,93.71766405
11.888889,15,21.11111,96.79344922
11.888889,15,21.11111,96.79344922
11.888889,15,21.11111,96.79344922
11.888889,15,26.666666,99.12578497
11.888889,15,32.22222,99.10186822
11.888889,15,32.22222,99.10186822
11.888889,15,37.77778,99.81438123
11.888889,15,37.77778,99.81438123
11.888889,15,37.77778,99.81438123
11.888889,15,37.77778,99.81438123
11.888889,15,43.333332,99.83689914
11.888889,15,43.333332,99.83689914
11.888889,15,43.333332,99.83689914
11.888889,15,48.888885,99.81668554
11.888889,15,48.888885,99.81668554
11.888889,15,48.888885,99.81668554
11.888889,15,54.444443,99.81668554
11.888889,15,54.444443,99.81668554
11.888889,15,60,0
11.888889,15,60,0
11.888889,15,60,0
11.888889,15,60,0
11.888889,16.666666,15.555555,93.71766405
11.888889,16.666666,15.555555,93.71766405
11.888889,16.666666,15.555555,93.71766405
11.888889,16.666666,15.555555,93.71766405
11.888889,16.666666,15.555555,93.71766405
11.888889,16.666666,21.11111,96.79344922
11.888889,16.666666,21.11111,96.79344922
11.888889,16.666666,21.11111,96.79344922
11.888889,16.666666,21.11111,96.79344922
11.888889,16.666666,21.11111,96.79344922
11.888889,16.666666,21.11111,96.79344922
11.888889,16.666666,26.666666,99.12578497
11.888889,16.666666,26.666666,99.12578497
11.888889,16.666666,26.666666,99.12578497
11.888889,16.666666,32.22222,99.10186822
11.888889,16.666666,32.22222,99.10186822
11.888889,16.666666,32.22222,99.10186822
11.888889,16.666666,37.77778,99.81438123
11.888889,16.666666,37.77778,99.81438123
11.888889,16.666666,43.333332,99.83689914
11.888889,16.666666,43.333332,99.83689914
11.888889,16.666666,48.888885,99.81668554
11.888889,16.666666,48.888885,99.81668554
11.888889,16.666666,48.888885,99.81668554
11.888889,16.666666,48.888885,99.81668554
11.888889,16.666666,54.444443,99.81668554
11.888889,16.666666,54.444443,99.81668554
11.888889,16.666666,60,0
11.888889,16.666666,60,0
11.888889,16.666666,60,0
11.888889,18.333332,15.555555,93.71766405
11.888889,18.333332,15.555555,93.71766405
11.888889,18.333332,15.555555,93.71766405
11.888889,18.333332,15.555555,93.71766405
11.888889,18.333332,15.555555,93.71766405
11.888889,18.333332,15.555555,93.71766405
11.888889,18.333332,15.555555,93.71766405
11.888889,18.333332,15.555555,93.71766405
11.888889,18.333332,21.11111,96.79344922
11.888889,18.333332,26.666666,99.12578497
11.888889,18.333332,26.666666,99.12578497
11.888889,18.333332,32.22222,99.10186822
11.888889,18.333332,32.22222,99.10186822
11.888889,18.333332,37.77778,99.81438123
11.888889,18.333332,37.77778,99.81438123
11.888889,18.333332,43.333332,99.83689914
11.888889,18.333332,43.333332,99.83689914
11.888889,18.333332,43.333332,99.83689914
11.888889,18.333332,43.333332,99.83689914
11.888889,18.333332,48.888885,99.81668554
11.888889,18.333332,48.888885,99.81668554
11.888889,18.333332,54.444443,99.81668554
11.888889,18.333332,60,0
11.888889,18.333332,60,0
11.888889,18.333332,60,0
